Query,Date,Result,Video,Channel,Video Id,Published,Views,Likes,Comments
prince,"Feb 26, 2021 at 05:59AM",1,Prince &amp; The Revolution - When Doves Cry (Official Music Video),Prince,UG3VcCAlUgE,2017-07-07T14:00:33Z,55089160,447542,15526
prince,"Feb 26, 2021 at 05:59AM",2,Prince - Purple Rain (Official Video),The Codfather,TvnYmWpD_T8,2016-04-22T16:26:04Z,211322297,1021874,49260
prince,"Feb 26, 2021 at 05:59AM",3,Prince - I Wanna Be Your Lover (Official Music Video),Prince,Rp8WL621uGM,2017-07-14T13:58:35Z,12294439,124988,7030
